"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"140","RT @viva_la_eva_: @katyperry please set the queen @AwkwardAya free #KPWWW https://t.co/Hy3iBWa9Ip",FALSE,0,NA,2017-06-16 20:36:32,FALSE,NA,"875814369908674561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",229,TRUE,FALSE,NA,NA
"141","RT @katycatdevin: just chilling in katy's bed, NO BIGGIE! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #KPWWW @katyperry https://t.co/R2gjCEy0cF",FALSE,0,NA,2017-06-16 20:36:18,FALSE,NA,"875814310907232257",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",237,TRUE,FALSE,NA,NA
"142","Today is the LAST DAY you can visit the #KPWWW HQ and get exclusive merch! Open now til 8pm @kimsingtheatre! -TeamKP https://t.co/fNIxUgpk9t",FALSE,7664,NA,2017-06-16 20:08:40,FALSE,NA,"875807357258743808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",1515,FALSE,FALSE,NA,NA
"143","Thank you, @Twitter, for always giving me an opportunity to have a voice! #LoveKaty https://t.co/Lpc1DSk4Kw",FALSE,20002,NA,2017-06-16 18:50:18,FALSE,NA,"875787638199828480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",6454,FALSE,FALSE,NA,NA
"144","Grand Rapids! Your Witness: The Tour tickets are available now, who's in? -TeamKP https://t.co/OU0q8WBFUu https://t.co/c377eDMgCh",FALSE,8081,NA,2017-06-16 16:04:35,FALSE,NA,"875745930829377536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",1544,FALSE,FALSE,NA,NA
"145","Buffalo, Charlotte, Quebec City &amp; Kansas City! Witness: The Tour tickets at all price levels on sale now:… https://t.co/qKAONZV5xt",FALSE,7630,NA,2017-06-16 14:02:24,TRUE,NA,"875715184085483520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",1442,FALSE,FALSE,NA,NA
"146","Catch em! FEELS by @CalvinHarris with @Pharrell @BigSean and your little bird <ed><U+00A0><U+00BD><ed><U+00B9><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008E> https://t.co/85bvRKvsBH <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>OUT NO… https://t.co/LoOIWMXrXX",FALSE,12230,NA,2017-06-16 04:12:18,TRUE,NA,"875566680256073729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",4255,FALSE,FALSE,NA,NA
"147","That's a wrap on day 2! Tomorrow is your LAST CHANCE to check out #KPWWW HQ and get exclusive merch! 12p-8p @KimSingTheatre -TeamKP",FALSE,5469,NA,2017-06-16 03:15:11,FALSE,NA,"875552305222778880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",1011,FALSE,FALSE,NA,NA
"148","RT @kimsingtheatre: Thank you @THR on a great write up on our space and time housing @katyperry   #KPWWW https://t.co/xApMvpaq30",FALSE,0,NA,2017-06-16 00:27:35,FALSE,NA,"875510126794350593",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",522,TRUE,FALSE,NA,NA
"149","RT @CapitolRecords: <ed><U+00A0><U+00BD><ed><U+00B1><U+0081> We out here! <ed><U+00A0><U+00BD><ed><U+00B1><U+0081>
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> #Witness HQ <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>
@katyperry #KPWWW https://t.co/QLRhItkU6C",FALSE,0,NA,2017-06-16 00:12:06,FALSE,NA,"875506234094309376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",693,TRUE,FALSE,NA,NA
"150","RT @sammobrien: experienced the magic of #KPWWW &amp; made myself right at home <ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+2728> so excited for what's to come this era #witness https://t.c…",FALSE,0,NA,2017-06-15 23:30:01,FALSE,NA,"875495642445041666",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",343,TRUE,FALSE,NA,NA
"151","RT @TurntPrincess_: just had the most amazing time thanks to @katyperry &amp; #KPWWW can't wait to be a #witness in november!! Thanks for being…",FALSE,0,NA,2017-06-15 23:29:53,FALSE,NA,"875495609502801921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",262,TRUE,FALSE,NA,NA
